"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A28FW73RBVGYZ9","cs_wg_v3_poss_real1","3YDTZAI2WXHO3CCW1UAJ9KZILML14B","64948","1729019","Male","645","No","I tried to remember the words from the first part. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:30:31","548"
"A1XXSN002MG3IS","cs_wg_v3_poss_real1","358010RM5EUVNQG4SJWDDJ3W3LWVX8","87409","1682234","Female","760","No","no",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:30:55","549"
"A3K4MDM191NKF6","cs_wg_v3_poss_real1","3ATPCQ38J8B0V73GMKRJ0AWSKHPYAG","251531","2278159","Female","725","No","Part 2 was impossible to read before answering...my strategy was simply to do my best.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:31:58","550"
"A30V0XGG1XNYI7","cs_wg_v3_poss_real1","3TOK3KHVJTJ6IR1G9U61OSW05ZKO74","75633","2346582","Male","595","No","No",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:33:33","551"
"A2HHIHKXZPFEI6","cs_wg_v3_poss_real1","30LB5CDZNCB4ZKF3Q4W9PBTHHPI0ZJ","153907","2378073","Female","750","No","NO",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:34:14","552"
"A1JQQLEYS6GO5A","cs_wg_v3_poss_real1","3I2PTA7R3TVXYILG71NEH2WMQK2QKK","104086","1995952","Male","720","No","If it was a 10 point word, the answers were all yes in part 2.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:35:00","553"
" A1FYTTGF0QACU9","cs_wg_v3_poss_real1","3NLZY2D53PQ8IO3YS1ZFW291FK7QLN","174695","2442604","Female","755","No","no",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:35:15","554"
"A27890V91M6OO9","cs_wg_v3_poss_real1","3JRJSWSMQHM25HN4D40F6ZQ6WVT3EB","171491","2074320","Female","685","No","It was fun to take this survey. I clicked Y for all the word which had 10 points.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:39:17","555"
"A2W3QPD493MHEI","cs_wg_v3_poss_real1","3WOKGM4L71HS0G1WOVLS9DMDXLEO04","57352","2017076","Male","675","No","Focus on the word and whether or not it could be selected",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:40:02","556"
"A8SD5DJ3KBLLR","cs_wg_v3_poss_real1","34X6J5FLPTZ2NYFYPGN2GNW9BV2QJL","109580","2207405","Male","695","No","try to remember the words",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:41:30","557"
"A1H053T5EXI6EP","cs_wg_v3_poss_real1","3PS7W85Z8Z3Q92UHK8QKWYTTZXPT97","97961","1653362","Male","750","No","Just went on my memory, the speed was hard to manage but I think I did well. On the first task I think I messed up the second to last word where I had to type what word I saw.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:42:49","558"
"ABX5OQLR6UNBC","cs_wg_v3_poss_real1","3OLQQLKKNSQDQVPTGPS2M67VSSEJE2","232969","2251905","Female","765","No","Trying to remember the words in a hurry!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:42:50","559"
"A3QAHF4UUBM7ZO","cs_wg_v3_poss_real1","3EFVCAY5L3AWHUF23M62UWB9HPGJ83","70008","2154027","Female","585","No","To compare it to real life things and to make sure it made sense.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:43:07","560"
"A20NITCOBY4775","cs_wg_v3_poss_real1","30JNVC0OR9L6WSK81GKH4AGUY3YQHG","167721","2885191","Female","765","No","other than try to answer correctly, I didn't have one",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:43:12","561"
"A1CH3TODZNQCES","cs_wg_v3_poss_real1","3WMOAN2SRBYQBW20QD94FHCY17MVNO","202236","2491656","Male","715","No","Do it as fast as possible",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:44:07","562"
"A2MZYC2OHHM76X","cs_wg_v3_poss_real1","31Z0PCVWUKGMVJ6O5BS0I22N471T7V","87713","1923999","Male","765","No","The only strategy I had was if I got points (10) for choosing the word then I answered yes to ought and should.  The only problem I had was some of the words like 'doorway' were in part 1 but I couldn't pick them, so answering the question 'could you have picked x word in part 1' I put no because it was grey and you couldn't pick it.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:44:40","563"
"A2MMMYB7AE5RQN","cs_wg_v3_poss_real1","36H9ULYP62V5W9PPB0C84OSV4TTJFK","183965","1915644","Male","765","No","Vietnam style, Go hard and hope its enogugh lol",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:46:16","564"
"A3NENUY6H263YT","cs_wg_v3_poss_real1","3YT88D1N08Z5RHFE9QBI4U3BGSP3KV","83743","1890633","Female","760","No","I tried to remember the best I could, some words I didn't recognize.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:48:51","565"
"A1Z7E1C3P16DEA","cs_wg_v3_poss_real1","3DUZQ9U6SMPNR9U5Y9QQEBM4O6UVS0","72799","3052964","Male","745","No","At the start I was flustered but I figured out just to hit ""y"" on all the words I knew were good, and try to keep up with the questions on the words I knew were bad but selectable.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:49:53","566"
"AK7NIT4IJ8X6D","cs_wg_v3_poss_real1","37ZHEEHM6WNHW28UQWM90PYPA8P37P","48065","1925893","Male","745","No","The study was very straightforward and clear. My strategy for part 2 was to remember as best as I can.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:49:55","567"
"A2MKXI4KCRRI7Y","cs_wg_v3_poss_real1","30MVJZJNHMEWVZYC8ECGUS6K1VYJ9S","109305","2187608","Male","735","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:51:06","568"
"A49HPQ9P5AHU4","cs_wg_v3_poss_real1","3AAPLD8UCCIJO8C0IKEC9FRHIAXTHX","74083","1701488","Male","775","No","Well, basically, my strategy in part 2 was just to answer based on the point values from part 1. The difficult part was figuring out what to do about words like ""umbrella"" ... the two questions about whether it was possible to pick the word were easy enough (no, I couldn't it was grayed out) but the question about whether I *should* have or not, didn't make any sense (since there was no way to know because I couldn't gather any data on it.) So I answered no to those questions as well by default.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:52:09","569"
"A3J8Y94SGZ3R0E","cs_wg_v3_poss_real1","3L4D84MILZTPA5GV6Q087948K86JHI","348140","3079333","Female","720","No","I enjoyed my participation. Thank you!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:52:29","570"
"A1YBX7P5PY8LL","cs_wg_v3_poss_real1","33C7UALJVLZPMDZYDX0WQWFNN8H18I","999882","3456697","Male","710","No","very interesting study.  I tried to rely on my memory in part 2",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:52:47","571"
"AZGBKAM5JUV5A","cs_wg_v3_poss_real1","3DR23U6WE5F74YLYSJ66OCU4QU5TEH","120762","1780932","Female","775","No","Just remember the words and what their values were if they had a value.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:58:39","572"
"ACGZDI611LU0I","cs_wg_v3_poss_real1","3JBT3HLQF837N1JN7PBZ4CUPPXTPZE","86801","1709041","Male","770","No","No, not really",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:00:54","573"
"AVI7K876BV3QL","cs_wg_v3_poss_real1","3VA45EW49NOS75MEKEPSNI5N2DKO17","124064","2003722","Female","740","No","no strategy, just memory",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:02:06","574"
"A32432Z96ADY84","cs_wg_v3_poss_real1","3JCG6DTRV3RJ9LJBK67BDO8VPQUQQC","105255","4057654","Male","765","No","Part 2 i just remembered what i had picked and what was greyed out and what wasn't and which ones had the higher points.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:02:47","575"
"AMY9FF4EMW50O","cs_wg_v3_poss_real1","3TR2532VIPV9DGWEA794AIFIBUQJ6H","90945","3867894","Male","615","No","no",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:04:04","576"
"A2EPI9A2N9OP3J","cs_wg_v3_poss_real1","30IQTZXKAK7FUPFOPM8OSQD69PK0XM","125545","1936185","Female","755","No","Reading the first words of the sentence and deciding what the answer should be based on what the word in question was.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:04:35","577"
"A5YVMQWA2IYPF","cs_wg_v3_poss_real1","3ZY8KE4ISJ4BETFS651LJB736I9VQB","104607","1730360","Male","735","No","Do the best I could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:04:55","578"
"AXHB59WY3NYZ4","cs_wg_v3_poss_real1","3HUTX6F6VUOZWQ4A3IP6S1FSUJYO2O","105667","3448118","Female","635","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:05:41","579"
"A2L22HZ50T83UK
","cs_wg_v3_poss_real1","3KYQYYSHYV8MZ02Q079NOK6WRANODX","190351","1793319","Female","725","No","TO TRY TO QUICKLY GLANCE AT THE WORD AND WHETHER IT SAID OUGHT/SHOULD/COULD/POSSIBLE AND THEN REACT ASAP ON THE KEYBOARD.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:06:00","580"
"AVC1PLLFS210S","cs_wg_v3_poss_real1","3Z3ZLGNNSIVR2KD9MVVF0GFKFYGQ39","545192","2261983","Male","720","No","I tried answering as quickly as possible. Made many mistakes.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:08:42","581"
"A4CX7I79NKBQA","cs_wg_v3_poss_real1","34Q075JO1XE74OUVITNHXH954A510V","111641","2605007","Male","760","No","JUST WENT W/ IT",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:09:46","582"
"AV22FQTJNBUZT","cs_wg_v3_poss_real1","35GMH2SV3EIRR6GQW2K7U2OHRMOOEQ","82188","1699724","Female","710","No","Try and remember the words.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:10:29","583"
"AFU00NU09CFXE","cs_wg_v3_poss_real1","34J10VATJFZ6SNVS7Y224MH9YGDQI9","70946","1696482","Female","750","No","I just tried to remember if it was an option to select and if the payout was more than the other option, but 1 second wasn't barely enough time to read the sentence.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:12:28","584"
"AWPB724OHY99T","cs_wg_v3_poss_real1","3TU5ZICBRD2D3HJFYCQBRXNVVK8Q81","66332","1757839","Female","775","No","Trying to remember the 10 point words and the grey words",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:13:38","585"
"A25L985XCNESXE","cs_wg_v3_poss_real1","3YOH7BII098P3QHXT0HONPVU7CHVKJ","73991","1735605","Female","745","No","To know the order of the questions and to react quickly.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:14:03","586"
"A1TL6GOSY0W1YC","cs_wg_v3_poss_real1","3M81GAB8A0KW5FHM1OALIZDW3QTQB0","3156604","4629224","Male","765","No","I typically went with if it was possible to choose that word or not. If I could not choose it, all the answers should have been no.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:15:33","587"
"A3UMANQDDX964G","cs_wg_v3_poss_real1","337RC3OW0530NWZFE0TP2P89WCMVLM","71965","1654213","Male","765","No","This study was more interesting than most stuff on mturk.

Trying to remember what words were good and which ones were bad. it went too fast for me to process and I got a lot of it wrong :(",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:16:44","588"
"A1V00TZ0JSBVH2","cs_wg_v3_poss_real1","3UNH76FOCS61X8C5JNHO91RSEYEYM0","63827","1739369","Male","755","No","My strategy was to try and remember what point values were assigned to what words.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:17:41","589"
"A3RRW6OSYCLKWB","cs_wg_v3_poss_real1","3RSDURM96AN3LKKS2PT5WTMJ5WNYEB","1590197","3425136","Male","760","No","Way underpaid. Try to focus on the word and the first word in the sentence.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:19:54","590"
"AHEVIE2NY1W1Z","cs_wg_v3_poss_real1","340UGXU9DY236MM9NELQTC4S93FVUG","51817","3846461","Female","690","No","no. I answered the questions to the best of my ability.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:23:30","591"
"A32CRWJESR6AX4","cs_wg_v3_poss_real1","3LS2AMNW5FRGO96V5TF7OJDVAPCQO4","605048","2937494","Male","745","No","I tried to remember the point values of the words and which words were grayed out.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:24:14","592"
"A3Q7M403ZI5OGN","cs_wg_v3_poss_real1","3G0WWMR1UVLY6O6J4EFU9UDQKF7QNP","266982","4239223","Female","770","No","I simply remembered which words gave 10 points and which words didn't - the rest was grey or was not in the first part.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:24:42","593"
"A2N9ZVWJJF6N7A","cs_wg_v3_poss_real1","32ZKVD547FO4YEBK3DYP5RKLTYG3BB","111274","2415636","Male","715","No","Strategy purely just using memory. It was confused as to whether I ""ought to"" or ""should have"" picked words I couldn't pick",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:27:38","594"
"A1EQIKZRSGNNP","cs_wg_v3_poss_real1","3Y9N9SS8LYCXDB94H9PV0H8LWJS3DI","701308","3447978","Female","760","No","try to remember as fast as I can",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:29:32","595"
"A55CXM7QR7R0N","cs_wg_v3_poss_real1","3300DTYQT2IUCIT6BFCBJ7JH6N6QE0","248665","2051366","Female","765","No","No strategy, I was just trying to remember if some of the words that were gray in part one were also black with the choice to choose. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:39:39","596"
"AIQT0DPRTXYYD","cs_wg_v3_poss_real1","323Q6SJS8IH953UZN09NSBCGR1SFHE","95805","1604731","Female","745","No","remember how part 1 worked",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:40:57","597"
"AHT8HA3JRWVGV","cs_wg_v3_poss_real1","39OWYR0EPKSVRYKOX0DBEB7JHX2YFT","139513","1826982","Female","745","No","I tried to remember every word in part 1.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:42:03","598"
"A1O299EPNHZ5O4
","cs_wg_v3_poss_real1","3AMYWKA6YBNNERNBQK19IEW4AO0O65","1903466","5138980","Male","605","No","I tried to remember which words had which points, but eventually I just went the safe route. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:45:06","599"
"A3UPZ88FI1EJC","cs_wg_v3_poss_real1","39PAAFCODM1O697KN9VGOGIQQP8VTP","106954","1770657","Female","770","No","This certainly does require a great amount of focus. It's challenging and a bit fun. My strategy was to read and respond as quickly as possible while still being correct.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:48:06","600"
"A1DJDT4B5B19Q2","cs_wg_v3_poss_real1","3DY4FPOOA1PBQUUSJKQLO1H824BVRC","37556","2298717","Female","725","No","trying to remember the good ones",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:51:36","601"
"A2V35L3RIRYYXV","cs_wg_v3_poss_real1","3EA3QWIZ4IWJK3NKO2WX9RSWINCTIQ","89839","3166474","Female","725","No","Just trying hard to remember what words were worth more points and which words were available to be chosen. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:51:52","602"
"AMZVZJL54O491","cs_wg_v3_poss_real1","3EF8EXOTT1WE6UVH41XNFMO13JAJ1J","124206","1536039","Male","685","No","was hard to remember if i saw the word or not
AMZVZJL54O491
AMZVZJL54O491
AMZVZJL54O491",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 18:55:22","603"
"A1B4WL7N3ACF2T","cs_wg_v3_poss_real1","3TXD01ZLD4I4C93U3IK3KM4FWKRU4E","56612","2048030","Female","715","No","Just trying to remember the combinations of words and points

Thank you.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:02:41","604"
"A3VE5OH94HYHET","cs_wg_v3_poss_real1","3MHW492WW0EKTEH0ECU422NYWHCVMO","176002","5007329","Female","690","No","tried to remember what i saw...BUT IT WAS SO FAST",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:09:10","605"
"A1X84T4EFW04GZ","cs_wg_v3_poss_real1","32SVAV9L3FAZF46SXZYTAG0FBGV3AG","56775","3585293","Male","625","No","n/a",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:11:47","606"
"A1ZZ7YO3YASNIP","cs_wg_v3_poss_real1","3VFJCI1K4Z0S8X4XUPRZO0EYFPNGR8","19085","1893015","Female","745","No","To try to remember which words were what value",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:19:25","607"
"A2VD133723IZR8","cs_wg_v3_poss_real1","37TRT2X24QSFJSD96YQCLY1APV1JB2","49489","2057663","Female","710","No","I just used my memory ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:25:51","608"
"A1TMWYZL6USNIF","cs_wg_v3_poss_real1","3FUI0JHJPXZZVJ77OKJJN8M957E33X","93995","1782979","Male","745","No","I tried my best to remember the words I could choose that were worth money and those that weren't. If they were grayed out or had not appeared, I hit no for everything.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:26:24","609"
"AROOCBM042SJD","cs_wg_v3_poss_real1","3WAKVUDHUWH1VWLD5GIANYOPNMI7UC","53220","1784907","Female","705","No","No. I just try to remember what words had 10 points. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:28:00","610"
"A1UY2W2FL9CWN","cs_wg_v3_poss_real1","3WSELTNVR334EL4MCE4KST4D5F7TAM","105206","1730093","Male","735","No","Just to try and remember what each word was worth",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:29:08","611"
"A1IFF4KV23FGHJ","cs_wg_v3_poss_real1","384PI804XS27Y8TPVC21TIWEUBT0SR","79236","1483177","Male","710","No","I tried to recall the words and act as soon as I could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:29:18","612"
"A1E5GPB1ZGHBX6","cs_wg_v3_poss_real1","3JJVG1YBEBY7CTYOHWMIKOI57VI5BG","109442","2123620","Female","735","No","No comments, interesting HIT.  My strategy going in was to remember the words and althought I got mixed up on one of the words in part 2, I believe Machine, i meant to hit the word was available but not able to select so the wording in the questions messed me up I'm sure.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:30:39","613"
"A2AJIRNA6L4IJI","cs_wg_v3_poss_real1","3AZHRG4CU4L3ER8A5X10LAO22VU302","162208","2144235","Male","755","No","The survey worked very well.  In part 2 I could pretty much remember all of the 10 point words from part 1, and most of the 0 point words.  I couldn't remember a few of the part 2 words at all, I'm not sure if they were even in part 1.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:35:14","614"
"A288TV72SGDQWE","cs_wg_v3_poss_real1","3WQQ9FUS6AVQZBHQFUTLW8SW9LJ8BL","83089","1398842","Male","740","No","try to answer as fast as possible was my strategy. the questions went by way too quickly; i barely had enough time to process and respond before it had moved on to the next question",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:37:16","615"
"A2V27A9GZA1NR2","cs_wg_v3_poss_real1","3KAKFY4PGU3ELMPQ9NQ6REOYOO03IK","164643","2571838","Male","705","No","I really enjoy a memory studies :) ty
Time was too short... every time I saw a work that was worth 10 points I pressed ""yes"" otherwise ""no""",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:40:17","616"
"A3TK7HVFEKB00R","cs_wg_v3_poss_real1","3X66WABAJWJ0PVJVJZQ362BI9B83GS","114317","1998098","Male","770","No","I figured the grayed out words were: should/ought not have and could not/not possible to choose.  Words which were not included got a No for each question.  I chose should/ought not but could/possible for those worth 0.  And finally, possible/ought/should/could for words worth 10 points.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:41:38","617"
"A250HYHFGXESAC","cs_wg_v3_poss_real1","3IXEICO792K3RJSJM1N8CO2R9WHT6W","98104","2184780","Male","770","No","Nope, Paying attention was my strategy.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:44:50","618"
"A267GLM78AMQ75","cs_wg_v3_poss_real1","3RWE2M8QWHBAIV1KNGLFUOM87CLN02","164792","1756416","Male","755","No","Tried to read the passages as quick as possible.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:44:55","619"
"A2XNO2KWLLGW6Z","cs_wg_v3_poss_real1","3DY46V3X3PJ5NDHFGMV5H2IDXZW55F","73790","1851910","Male","765","No","Very interesting! and I didn't have a particular strategy besides keeping one finger on the y key and another on the n key but the questions went to fast in my opinion which messed me up a few times. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 19:58:20","620"
"AH31QLJ57XC8W","cs_wg_v3_poss_real1","3WJ1OXY92AHLG1CY9GTP1X8QR3Y8AQ","274430","3796360","Female","735","No","tryed to remember the high points",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 20:02:18","621"
"A3H32595TVJ34Q","cs_wg_v3_poss_real1","36AHBNMV1RDYTE6S6UILQB4Y5KMYDI","199873","2160593","Female","770","No","This was a very fun and interesting study; thank you so much for allowing me to participate. In Part 2, I looked at the word very quickly and then at the very first couple of words in the questions being asked; and was able to at least try to get the right answer for those questions as they appeared on screen - it wasn't easy as I messed up a few times trying to be fast like you asked, but it was a lot of fun. Thank you.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 20:02:45","622"
"A12BBT44WKF4PE","cs_wg_v3_poss_real1","3QJOXOW4XJS3R3VEJM5U2YZCWNLMEN","91845","3020873","Male","675","No","It was kind confusing and i could barely remember the words even though id seen them almost a hundred times",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 20:09:43","623"
