"subject","version","assignmentId","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","6","16","1","cop",,"3405","2017-02-03 15:34:54","40"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","7","16","0","please",,"4901","2017-02-03 15:35:18","41"
"A2C73Y1COWCA51","cs_wg_v1_pilot1","3M68NM076H8QB4FRICIDC919DLP6RD","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","8","12","0","apple",,"3654","2017-02-03 15:35:36","42"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","4","8","1","FLEMMERING",,"151624","2017-02-03 15:36:06","43"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","5","4","1","Dunched",,"45079","2017-02-03 15:37:19","44"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","6","24","1","Cleepers",,"66809","2017-02-03 15:39:05","45"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","7","20","1","blicket",,"107769","2017-02-03 15:42:31","46"
"A2EI075XZT9Y2S","cs_wg_v1_pilot1","3OE22WJIGIPB1EQS1FRGNP5KKL4QUX","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","8","16","1","wooked",,"58030","2017-02-03 15:44:32","47"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","4","1","Wooked",,"54967","2017-02-03 15:48:29","48"
"A3IC0BQ4GF48SC","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","0","5","1","fluid",,"49882","2017-02-03 15:49:04","49"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","1","5","1","Nardly",,"13827","2017-02-03 15:49:07","50"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","2","16","1","Nardly",,"30204","2017-02-03 15:50:17","51"
"A3IC0BQ4GF48SC","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","1","4","0","FLUID",,"38951","2017-02-03 15:50:17","52"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","3","8","1","fipping",,"21617","2017-02-03 15:51:16","53"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","4","5","1","fipping",,"22122","2017-02-03 15:52:34","54"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","5","20","1","blicket",,"18880","2017-02-03 15:53:53","55"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","6","16","1","fipping",,"14521","2017-02-03 15:55:41","56"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","7","24","1","nardly",,"6344","2017-02-03 15:56:50","57"
"A10LVHTF26QHQC","cs_wg_v1_pilot1","3VNL7UK1XFKZACLUNUQC6UF4U5OTFF","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","8","12","0","wooked",,"5567","2017-02-03 15:57:33","58"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","5","0","blicket",,"41156","2017-02-03 15:59:51","59"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","1","4","0","wooked",,"25909","2017-02-03 16:02:01","60"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","2","5","1","blicket",,"30483","2017-02-03 16:03:21","61"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","3","20","1","fickering",,"51675","2017-02-03 16:06:06","62"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","4","12","0","blicket",,"17257","2017-02-03 16:07:04","63"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","5","4","0","blicket",,"9438","2017-02-03 16:07:37","64"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","6","20","0","soumeron",,"31282","2017-02-03 16:08:30","65"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","7","5","1","blicket",,"12869","2017-02-03 16:09:34","66"
"A3UTFL5JHRQCM1","cs_wg_v1_pilot1","3D3VGR7TA0GRELS9ZAKF56PP3UN3R4","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","8","16","1","I don't know",,"17665","2017-02-03 16:10:17","67"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","4","1","murrads",,"33142","2017-02-03 16:28:58","68"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","1","20","1","fimmering","fimmering
cheedle
murads","82721","2017-02-03 16:32:13","69"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","2","12","0","hopchack",,"15177","2017-02-03 16:33:19","70"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","3","4","0","fimmering","fimmering","18846","2017-02-03 16:34:12","71"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","4","5","1","cheedle","cheedle","26815","2017-02-03 16:35:09","72"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","5","16","1","murads",,"17634","2017-02-03 16:35:57","73"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","6","5","1","fimmering","fimmering
murads
cheedle
hopchak","49476","2017-02-03 16:37:41","74"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","7","24","1","cheedle","S, G, E, F, B, N, or L
cheedle
fimmering
murads
hopchak","43936","2017-02-03 16:39:05","75"
"ACVEFRSUAPSEQ","cs_wg_v1_pilot1","3TPZPLC3M0D628CUMIGQ0BPA2CYP3X","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","8","16","1","cheedle","fimmering
cheedle
murads
hopchak","36386","2017-02-03 16:41:44","76"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","0","5","1","chaxed",,"77609","2017-02-03 16:50:03","77"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Adjacent letter-pairs where first letter is earlier in alphabet","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","1","20","1","hotchack",,"300214","2017-02-03 16:55:42","78"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Number of letters after word's third letter in alphabet","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","2","5","1","chaxed",,"16332","2017-02-03 16:56:33","79"
"A2M4GONJ5V2I99","cs_wg_v1_pilot1","3VJ40NV2QIOTGPYNMX92TOOIM6FOTW","Letters in set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","0","24","1","VATED","JADDEARED
THOCKY
VATED
CHEEDLE
","100017","2017-02-03 16:57:43","80"
"A2M4GONJ5V2I99","cs_wg_v1_pilot1","3VJ40NV2QIOTGPYNMX92TOOIM6FOTW","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","1","8","1","JADDEARED",,"45126","2017-02-03 16:59:02","81"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","3","20","0","jiddeared",,"82894","2017-02-03 16:59:19","82"
"A2M4GONJ5V2I99","cs_wg_v1_pilot1","3VJ40NV2QIOTGPYNMX92TOOIM6FOTW","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","2","4","1","CHEEDLE",,"27296","2017-02-03 17:00:09","83"
"A2M4GONJ5V2I99","cs_wg_v1_pilot1","3VJ40NV2QIOTGPYNMX92TOOIM6FOTW","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","3","5","1","VATED","JADDEARED
VATED
CHEEDLE
","93213","2017-02-03 17:02:05","84"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","4","8","1","CHEEDLE",,"86152","2017-02-03 17:02:09","85"
"A2M4GONJ5V2I99","cs_wg_v1_pilot1","3VJ40NV2QIOTGPYNMX92TOOIM6FOTW","Letters in set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","4","12","0","JADDEARED",,"14509","2017-02-03 17:02:44","86"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Letters in set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","5","16","1","JIDDEARED",,"12183","2017-02-03 17:03:43","87"
"AFUX7IUQOE0NA","cs_wg_v1_pilot1","3SBEHTYCWN4F1PMEY8JWH8KBPZYYI0","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","6","4","1","MURRADS",,"33528","2017-02-03 17:04:45","88"
