"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","stamp","id"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","3",NULL,"MAY","10","APRIL","4","0","1477","1",,,,"2018-07-24 15:37:35","497440"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","1",NULL,"JULY","12","JUNE","5","0","2502","1",,,,"2018-07-24 15:37:35","497441"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","1",NULL,"MARCH","10","SEPTEMBER","1","0","2286","1",,,,"2018-07-24 15:37:38","497442"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","1",NULL,"NOVEMBER","4","MARCH","8","1","2479","1",,,,"2018-07-24 15:37:39","497443"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","1",NULL,"SEPTEMBER","5","JULY","12","1","3185","1",,,,"2018-07-24 15:37:44","497444"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","2",NULL,"AUGUST","8","JANUARY","7","1","1800","0",,,,"2018-07-24 15:37:45","497445"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","2",NULL,"JULY","12","AUGUST","4","1","3328","0",,,,"2018-07-24 15:37:45","497446"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","4",NULL,"AUGUST","7","NOVEMBER","6","0","7398","1",,,,"2018-07-24 15:37:47","497447"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","2",NULL,"DECEMBER","5","MAY","11","0","3466","0",,,,"2018-07-24 15:37:47","497448"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","3",NULL,"APRIL","8","OCTOBER","1","0","1927","1",,,,"2018-07-24 15:37:48","497449"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","1",NULL,"NOVEMBER","9","MAY","11","0","4634","0",,,,"2018-07-24 15:37:48","497450"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","4",NULL,"AUGUST","8","JANUARY","11","0","6140","0",,,,"2018-07-24 15:37:50","497451"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","3",NULL,"SEPTEMBER","1","FEBRUARY","6","0","2014","0",,,,"2018-07-24 15:37:52","497452"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","3",NULL,"AUGUST","6","OCTOBER","2","1","767","0",,,,"2018-07-24 15:37:53","497453"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","5",NULL,"FEBRUARY","1","JULY","9","1","2305","1",,,,"2018-07-24 15:37:54","497454"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","2",NULL,"NOVEMBER","6","DECEMBER","7","0","4322","0",,,,"2018-07-24 15:37:54","497455"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","3",NULL,"MAY","3","APRIL","6","0","2223","0",,,,"2018-07-24 15:37:56","497456"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","4",NULL,"DECEMBER","2","JULY","5","0","1596","0",,,,"2018-07-24 15:37:59","497457"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","4",NULL,"NOVEMBER","4","AUGUST","6","0","1192","0",,,,"2018-07-24 15:37:59","497458"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","2",NULL,"OCTOBER","5","NOVEMBER","9","1","2533","1",,,,"2018-07-24 15:37:59","497459"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","6",NULL,"DECEMBER","2","AUGUST","7","1","1533","1",,,,"2018-07-24 15:38:01","497460"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","5",NULL,"JUNE","6","NOVEMBER","9","0","2451","0",,,,"2018-07-24 15:38:04","497461"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","5",NULL,"OCTOBER","4","JUNE","11","1","1282","1",,,,"2018-07-24 15:38:05","497462"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","3",NULL,"JUNE","8","OCTOBER","10","1","3882","1",,,,"2018-07-24 15:38:06","497463"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","5",NULL,"OCTOBER","2","JANUARY","12","1","1876","1",,,,"2018-07-24 15:38:06","497464"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","7",NULL,"SEPTEMBER","3","AUGUST","7","1","1157","1",,,,"2018-07-24 15:38:07","497465"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","4",NULL,"MARCH","5","AUGUST","12","1","7477","1",,,,"2018-07-24 15:38:07","497466"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","4",NULL,"JUNE","5","MARCH","1","1","5679","0",,,,"2018-07-24 15:38:07","497467"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","6",NULL,"JULY","5","APRIL","3","0","1166","1",,,,"2018-07-24 15:38:10","497468"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","6",NULL,"JANUARY","12","DECEMBER","5","0","1938","1",,,,"2018-07-24 15:38:14","497469"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","8",NULL,"JANUARY","8","APRIL","4","1","2130","0",,,,"2018-07-24 15:38:14","497470"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","6",NULL,"NOVEMBER","9","SEPTEMBER","12","1","5250","1",,,,"2018-07-24 15:38:15","497471"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","4",NULL,"JANUARY","4","NOVEMBER","6","0","2551","1",,,,"2018-07-24 15:38:17","497472"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","3",NULL,"DECEMBER","12","JULY","4","1","3056","0",,,,"2018-07-24 15:38:17","497473"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","5",NULL,"MARCH","1","AUGUST","4","1","4598","1",,,,"2018-07-24 15:38:18","497474"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","7",NULL,"JANUARY","7","DECEMBER","2","1","2473","0",,,,"2018-07-24 15:38:18","497475"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","9",NULL,"AUGUST","7","MARCH","12","0","2523","0",,,,"2018-07-24 15:38:21","497476"
"A2JFNQK7HIFFC9","cs_wg_full_v4_conf_pilot2","3JRJSWSMQHM25HN4D40F6ZQ9LJ1E31","0",NULL,"AUGUST","7","SEPTEMBER","2","0","10509","1",,,,"2018-07-24 15:38:22","497477"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","7",NULL,"AUGUST","6","NOVEMBER","4","0","3409","1",,,,"2018-07-24 15:38:22","497478"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","5",NULL,"JUNE","4","APRIL","8","1","7678","1",,,,"2018-07-24 15:38:23","497479"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","5",NULL,"OCTOBER","10","AUGUST","2","1","1998","0",,,,"2018-07-24 15:38:24","497480"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","6",NULL,"SEPTEMBER","9","JULY","12","1","2847","1",,,,"2018-07-24 15:38:27","497481"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","10",NULL,"SEPTEMBER","3","JUNE","11","0","971","0",,,,"2018-07-24 15:38:28","497482"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","8",NULL,"JUNE","11","JULY","5","1","1909","0",,,,"2018-07-24 15:38:28","497483"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","6",NULL,"SEPTEMBER","5","JUNE","8","0","754","0",,,,"2018-07-24 15:38:29","497484"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","4",NULL,"SEPTEMBER","7","AUGUST","6","0","2541","1",,,,"2018-07-24 15:38:30","497485"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","7",NULL,"FEBRUARY","3","MAY","10","1","5971","1",,,,"2018-07-24 15:38:31","497486"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","8",NULL,"MARCH","8","JANUARY","12","1","1662","1",,,,"2018-07-24 15:38:31","497487"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","9",NULL,"FEBRUARY","6","OCTOBER","4","0","782","1",,,,"2018-07-24 15:38:33","497488"
"A2JFNQK7HIFFC9","cs_wg_full_v4_conf_pilot2","3JRJSWSMQHM25HN4D40F6ZQ9LJ1E31","1",NULL,"OCTOBER","11","AUGUST","7","0","3044","1",,,,"2018-07-24 15:38:33","497489"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","7",NULL,"SEPTEMBER","9","MARCH","1","0","2415","1",,,,"2018-07-24 15:38:34","497490"
"A1TD4CM1NKIQ65","cs_wg_full_v4_conf_pilot2","3URFVVM165JKF6RJOBATEIHRM2UUZV","0",NULL,"JUNE","4","OCTOBER","8","0","3388","0",,,,"2018-07-24 15:38:35","497491"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","11",NULL,"JANUARY","8","SEPTEMBER","3","0","2369","1",,,,"2018-07-24 15:38:35","497492"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","7",NULL,"JULY","12","SEPTEMBER","5","0","1659","1",,,,"2018-07-24 15:38:36","497493"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","5",NULL,"JANUARY","8","FEBRUARY","10","1","1973","1",,,,"2018-07-24 15:38:38","497494"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","8",NULL,"FEBRUARY","3","JANUARY","11","1","2511","1",,,,"2018-07-24 15:38:39","497495"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","10",NULL,"JULY","5","NOVEMBER","12","0","1865","0",,,,"2018-07-24 15:38:40","497496"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","6",NULL,"SEPTEMBER","10","MARCH","5","0","5839","1",,,,"2018-07-24 15:38:40","497497"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","9",NULL,"FEBRUARY","9","JUNE","1","0","4006","1",,,,"2018-07-24 15:38:41","497498"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","8",NULL,"MARCH","1","MAY","3","0","1148","0",,,,"2018-07-24 15:38:42","497499"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","8",NULL,"OCTOBER","10","JULY","12","1","2056","1",,,,"2018-07-24 15:38:42","497500"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","12",NULL,"JUNE","11","DECEMBER","2","0","2856","1",,,,"2018-07-24 15:38:43","497501"
"A1TD4CM1NKIQ65","cs_wg_full_v4_conf_pilot2","3URFVVM165JKF6RJOBATEIHRM2UUZV","1",NULL,"DECEMBER","1","FEBRUARY","12","1","1846","1",,,,"2018-07-24 15:38:46","497502"
"A2JFNQK7HIFFC9","cs_wg_full_v4_conf_pilot2","3JRJSWSMQHM25HN4D40F6ZQ9LJ1E31","2",NULL,"MAY","10","SEPTEMBER","2","0","3265","1",,,,"2018-07-24 15:38:46","497503"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","11",NULL,"JULY","5","MARCH","10","0","1157","0",,,,"2018-07-24 15:38:47","497504"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","13",NULL,"NOVEMBER","6","DECEMBER","2","0","1383","1",,,,"2018-07-24 15:38:49","497505"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","9",NULL,"JUNE","8","JANUARY","4","0","1535","1",,,,"2018-07-24 15:38:49","497506"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","9",NULL,"JANUARY","11","AUGUST","8","0","6203","1",,,,"2018-07-24 15:38:50","497507"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","9",NULL,"OCTOBER","10","SEPTEMBER","9","0","1831","1",,,,"2018-07-24 15:38:51","497508"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","6",NULL,"SEPTEMBER","7","OCTOBER","5","1","1770","0",,,,"2018-07-24 15:38:51","497509"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","12",NULL,"FEBRUARY","6","NOVEMBER","12","1","1513","1",,,,"2018-07-24 15:38:54","497510"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","10",NULL,"DECEMBER","7","NOVEMBER","6","0","1495","1",,,,"2018-07-24 15:38:55","497511"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","14",NULL,"MARCH","12","NOVEMBER","6","0","2552","1",,,,"2018-07-24 15:38:56","497512"
"A1TD4CM1NKIQ65","cs_wg_full_v4_conf_pilot2","3URFVVM165JKF6RJOBATEIHRM2UUZV","2",NULL,"JULY","11","AUGUST","7","0","1606","1",,,,"2018-07-24 15:38:56","497513"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","7",NULL,"NOVEMBER","6","FEBRUARY","2","0","8919","1",,,,"2018-07-24 15:38:56","497514"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","10",NULL,"DECEMBER","5","OCTOBER","2","1","5264","0",,,,"2018-07-24 15:38:56","497515"
"A3SJA2R2M8OHYL","cs_wg_full_v4_conf_pilot2","3OVHNO1VE62YY4GX2GK44ID302ZDZ4","0",NULL,"NOVEMBER","7","OCTOBER","12","0","8885","0",,,,"2018-07-24 15:38:57","497516"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","10",NULL,"NOVEMBER","9","MAY","10","0","2067","0",,,,"2018-07-24 15:38:57","497517"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","7",NULL,"MARCH","1","JUNE","3","0","2031","1",,,,"2018-07-24 15:39:00","497518"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","10",NULL,"MAY","3","NOVEMBER","7","0","3206","0",,,,"2018-07-24 15:39:00","497519"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","15",NULL,"JULY","9","APRIL","4","0","1557","1",,,,"2018-07-24 15:39:02","497520"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","13",NULL,"FEBRUARY","6","JANUARY","7","1","3870","1",,,,"2018-07-24 15:39:02","497521"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","11",NULL,"OCTOBER","10","APRIL","11","0","1405","0",,,,"2018-07-24 15:39:03","497522"
"A2JFNQK7HIFFC9","cs_wg_full_v4_conf_pilot2","3JRJSWSMQHM25HN4D40F6ZQ9LJ1E31","3",NULL,"MARCH","8","JANUARY","12","1","9693","1",,,,"2018-07-24 15:39:04","497523"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","8",NULL,"MARCH","5","JUNE","4","0","3644","1",,,,"2018-07-24 15:39:04","497524"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","11",NULL,"SEPTEMBER","3","NOVEMBER","4","0","1581","0",,,,"2018-07-24 15:39:06","497525"
"AFMAV43Q6NQPG","cs_wg_full_v4_conf_pilot2","3WSELTNVR334EL4MCE4KST4GU3ITA4","0",NULL,"JUNE","9","FEBRUARY","1","1","8219","0",,,,"2018-07-24 15:39:07","497526"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","12",NULL,"JULY","12","MARCH","1","0","812","1",,,,"2018-07-24 15:39:08","497527"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","16",NULL,"MAY","10","SEPTEMBER","3","0","2105","1",,,,"2018-07-24 15:39:08","497528"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","14",NULL,"MAY","9","MARCH","10","1","1527","1",,,,"2018-07-24 15:39:09","497529"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","8",NULL,"JANUARY","8","DECEMBER","12","1","3406","1",,,,"2018-07-24 15:39:10","497530"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","11",NULL,"JUNE","5","FEBRUARY","2","1","4847","0",,,,"2018-07-24 15:39:10","497531"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","11",NULL,"MARCH","2","APRIL","5","0","1303","0",,,,"2018-07-24 15:39:10","497532"
"A3SJA2R2M8OHYL","cs_wg_full_v4_conf_pilot2","3OVHNO1VE62YY4GX2GK44ID302ZDZ4","1",NULL,"JANUARY","4","MAY","1","1","3390","0",,,,"2018-07-24 15:39:13","497533"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","12",NULL,"MARCH","8","FEBRUARY","9","1","2313","1",,,,"2018-07-24 15:39:13","497534"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","17",NULL,"MAY","10","NOVEMBER","6","0","888","1",,,,"2018-07-24 15:39:14","497535"
"A2JFNQK7HIFFC9","cs_wg_full_v4_conf_pilot2","3JRJSWSMQHM25HN4D40F6ZQ9LJ1E31","4",NULL,"JULY","3","JUNE","5","1","4479","1",,,,"2018-07-24 15:39:14","497536"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","13",NULL,"DECEMBER","7","APRIL","11","0","1746","0",,,,"2018-07-24 15:39:14","497537"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","9",NULL,"SEPTEMBER","7","DECEMBER","12","1","1478","1",,,,"2018-07-24 15:39:16","497538"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","12",NULL,"FEBRUARY","3","MARCH","2","0","2067","1",,,,"2018-07-24 15:39:19","497539"
"AFMAV43Q6NQPG","cs_wg_full_v4_conf_pilot2","3WSELTNVR334EL4MCE4KST4GU3ITA4","1",NULL,"JULY","10","AUGUST","2","1","3583","0",,,,"2018-07-24 15:39:19","497540"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","18",NULL,"JULY","9","SEPTEMBER","3","0","1539","1",,,,"2018-07-24 15:39:20","497541"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","15",NULL,"SEPTEMBER","1","JUNE","11","0","5647","0",,,,"2018-07-24 15:39:20","497542"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","14",NULL,"JANUARY","4","AUGUST","2","1","1065","0",,,,"2018-07-24 15:39:20","497543"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","12",NULL,"FEBRUARY","2","MARCH","1","1","5208","0",,,,"2018-07-24 15:39:20","497544"
