"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
3,10,6,15,7,14,3,4,3,1,1,6
