"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","27696",,,"20","1","1","2018-05-25 16:05:34","17222"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","25871","WEAPON","WEAPON","180","1","0","2018-05-25 16:05:46","17223"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","11921","POPCORN",,"180","0","0","2018-05-25 16:05:52","17224"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","0","Memory","2",,"2","30","1","9268","[""POPCORN"",""DOGSLED"",""GOLDEN"",""LIPSTICK"",""WEAPON"",""FILMMAKER"",""RABIES"",""UNHAPPY"","""","""","""",""""]",,"180","0","0","2018-05-25 16:05:54","17225"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","0","Memory","2",,"2","30","1","10651","[""Filmmaker"",""Golden"",""Unhappy"",""Rabies"",""Lipstick"",""Smoker"",""Inferno"",""Popcorn"","""","""","""",""""]",,"180","1","0","2018-05-25 16:06:24","17226"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","41640","golden",,"20","0","1","2018-05-25 16:06:46","17227"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","16990","WEAPON","WEAPON","20","1","0","2018-05-25 16:06:48","17228"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","0","Memory","2",,"2","30","1","37372","[""filmmaker"",""inferno"",""unhappy"",""popcorn"",""weapon"",""lipstick"",""dogsled"",""golden"",""mailman"",""rabies"",""stereotypes"",""I can't remember""]",,"180","1","1","2018-05-25 16:07:17","17229"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","98913","weapon",,"180","1","1","2018-05-25 16:07:34","17230"
"A2MJYP5M2JRSVZ","cs_wg_v7_pilot9","3U8YCDAGXPHVLSEC38DWYIHFLCZQ0A","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","25589","WEAPON",,"180","1","1","2018-05-25 16:07:42","17231"
"A2MJYP5M2JRSVZ","cs_wg_v7_pilot9","3U8YCDAGXPHVLSEC38DWYIHFLCZQ0A","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","18591","GOLDEN",,"20","1","1","2018-05-25 16:08:47","17232"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","0","Memory","2",,"2","30","1","17705","[""dogsled"",""golden"",""popcorn"",""lipstick"",""mailman"",""weapon"",""unhappy"",""smoker"",""rabies"",""inferno"",""stereotyoe"",""filmmaker""]",,"180","1","1","2018-05-25 16:08:55","17233"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","42333",,,"20","1","1","2018-05-25 16:09:00","17234"
"AWY6W20U8H3JA","cs_wg_v7_pilot9","3WZ36BJEV3H9XV9EIS4GN4OLWNVBTV","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","69887","popcorn",,"180","0","1","2018-05-25 16:09:56","17235"
"A2DA5SD0IQEPBI","cs_wg_v7_pilot9","3AQF3RZ558JT8EAIRHIJVKNSRDCF66","0","Memory","2",,"2","30","1","13397","[""WEAPON"",""STEREOTYPE"",""RABIES"",""MAILMAN"",""DOGSLED"",""GOLDEN"",""LIPSTICK"",""SMOKER"",""FILMMAKER"",""UNHAPPY"",""POPCORN"",""INFERNO""]",,"180","1","0","2018-05-25 16:10:04","17236"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","26189","WEAPON","LIPSTICK, MAILMAN, RABIES, DOGSLED, POPCORN, FILMMAKER, SMOKER, STEREOTYPE, INFERNO, UNHAPPY, GOLDEN","180","1","1","2018-05-25 16:10:05","17237"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","25926","POPCORN",,"180","0","1","2018-05-25 16:10:08","17238"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","0","Memory","2",,"2","30","1","31016","[""dogsled"",""inferno"",""unhappy"",""lipstick"",""mailman"",""filmmaker"",""popcorn"",""smoker"",""rabies"",""stereotype"",""weapon"",""golden""]",,"180","0","1","2018-05-25 16:10:20","17239"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","33761","WEAPON",,"180","1","0","2018-05-25 16:10:20","17240"
"A2M3FPQF852HW4","cs_wg_v7_pilot9","3I33IC7ZWF3AUMA9TZKOR6VPESXA27","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","29157","LIPSTICK",,"180","0","0","2018-05-25 16:10:41","17241"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","35803","gold",,"20","0","1","2018-05-25 16:11:29","17242"
"A2M3FPQF852HW4","cs_wg_v7_pilot9","3I33IC7ZWF3AUMA9TZKOR6VPESXA27","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","14165","inferno",,"20","0","0","2018-05-25 16:11:31","17243"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","22199","INFERNO",,"20","1","0","2018-05-25 16:11:35","17244"
"AWY6W20U8H3JA","cs_wg_v7_pilot9","3WZ36BJEV3H9XV9EIS4GN4OLWNVBTV","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","56213",,"st","20","0","1","2018-05-25 16:11:49","17245"
"A1451U8DQFT38Z","cs_wg_v7_pilot9","3HHRAGRYX86AWAP9OR4L2ON89FB9OX","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","30224","Popcorn",,"180","0","0","2018-05-25 16:11:54","17246"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","26964","GOLDEN",,"20","1","1","2018-05-25 16:11:55","17247"
"A2MJYP5M2JRSVZ","cs_wg_v7_pilot9","3U8YCDAGXPHVLSEC38DWYIHFLCZQ0A","0","Memory","2",,"2","30","1","12573","[""GOLDEN"",""DOGSLED"",""WEAPON"",""MAILMAN"",""POPCORN"",""UNHAPPY"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","1","1","2018-05-25 16:12:03","17248"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","0","Memory","2",,"2","30","1","18512","[""unhappy"",""lipstick"",""dogsled"",""weapon"",""inferno"",""smoker"",""golden"",""stereotype"","""","""","""",""""]",,"180","1","1","2018-05-25 16:12:22","17249"
"A3R20AEJRD29WW","cs_wg_v7_pilot9","3K2755HG5S4STNPX14QX1QXK8ZZFDY","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","23753","WEAPON",,"180","1","1","2018-05-25 16:12:26","17250"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","381006","popcorn",,"20","0","0","2018-05-25 16:12:56","17251"
"A1451U8DQFT38Z","cs_wg_v7_pilot9","3HHRAGRYX86AWAP9OR4L2ON89FB9OX","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","24261","Lipstick",,"20","0","0","2018-05-25 16:12:59","17252"
"A3R20AEJRD29WW","cs_wg_v7_pilot9","3K2755HG5S4STNPX14QX1QXK8ZZFDY","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","16513","golden",,"20","1","1","2018-05-25 16:13:27","17253"
"A2T2HFUJP04DWD","cs_wg_v7_pilot9","3Z3ZLGNNSIVR2KD9MVVF0GFMOPOQ3C","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","25318","WEAPON",,"180","1","0","2018-05-25 16:14:08","17254"
"A28LPPFS7FW2SD","cs_wg_v7_pilot9","3AUQQEL7U5UNQ0ATP77645GN24EV09","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","38734","I have golden memories",,"180","0","0","2018-05-25 16:14:44","17255"
"A2KROBPV0YPE4A","cs_wg_v7_pilot9","3RANCT1ZVFIOX8O3IXUQS0ANF15BUP","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","46547","popcorn",,"180","0","1","2018-05-25 16:14:50","17256"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","0","Memory","2",,"2","30","1","18712","[""Golden"",""Smoker"",""Dogsled"",""Rabies"",""Stereotype"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","0","1","2018-05-25 16:14:51","17257"
"A2M3FPQF852HW4","cs_wg_v7_pilot9","3I33IC7ZWF3AUMA9TZKOR6VPESXA27","0","Memory","2",,"2","30","1","17320","[""inferno"",""dogsled"",""rabies"",""popcorn"",""filmmaker"",""smoker"",""unhappy"",""weapon"",""mailman"",""golden"",""stereotype"",""lipstick""]",,"180","0","0","2018-05-25 16:14:52","17258"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","0","Memory","2",,"2","30","1","18850","[""INFERNO"",""POPCORN"",""STEREOTYPE"",""GOLDEN"",""DOGSLED"",""RABIES"",""UNHAPPY"",""WEAPON"",""MAILMAN"",""LIPSTICK"",""I can't remember"",""I can't remember""]",,"180","1","0","2018-05-25 16:14:57","17259"
"A2D4RUOUUAE91I","cs_wg_v7_pilot9","36PW28KO4ZX2P2MPMJFPT74EBVNEAD","0","Memory","2",,"2","30","1","19952","[""Golden"",""Weapon"",""Lipstick"",""Mailman"",""Rabies"",""Filmmaker"",""Unhappy"",""Smoker"",""Popcorn"",""Dogsled"",""Inferno"",""I can't remember""]",,"180","1","1","2018-05-25 16:15:18","17260"
"A2T2HFUJP04DWD","cs_wg_v7_pilot9","3Z3ZLGNNSIVR2KD9MVVF0GFMOPOQ3C","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","28511","unhappy","Unhappy
","20","1","0","2018-05-25 16:15:23","17261"
"AWY6W20U8H3JA","cs_wg_v7_pilot9","3WZ36BJEV3H9XV9EIS4GN4OLWNVBTV","0","Memory","2",,"2","30","1","39247","[""sterotype"",""weapon"",""dogsled"",""rabies"",""lipstick"",""mailman"",""popcorn"",""smoker"",""unhappy"",""inferno"",""filmmaker"",""don't remember""]",,"180","0","1","2018-05-25 16:15:31","17262"
"A10VQSMGPJFSMU","cs_wg_v7_pilot9","3LEIZ60CDJ0MVE3GQ0F2IMUCTJE9ZZ","0","Memory","2",,"2","30","1","7913","[""popcorn"",""golden"",""lipstick"",""dogsled"",""smoker"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","0","0","2018-05-25 16:16:07","17263"
"A2KROBPV0YPE4A","cs_wg_v7_pilot9","3RANCT1ZVFIOX8O3IXUQS0ANF15BUP","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","1","0","19281","golden",,"20","0","1","2018-05-25 16:16:19","17264"
"A1451U8DQFT38Z","cs_wg_v7_pilot9","3HHRAGRYX86AWAP9OR4L2ON89FB9OX","0","Memory","2",,"2","30","1","18352","[""Lipstick"",""Mailman"",""Golden"",""Stereotype"",""Popcorn"",""Unhappy"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","0","0","2018-05-25 16:16:21","17265"
"A28LPPFS7FW2SD","cs_wg_v7_pilot9","3AUQQEL7U5UNQ0ATP77645GN24EV09","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","76951",,,"20","0","0","2018-05-25 16:16:35","17266"
"A3R20AEJRD29WW","cs_wg_v7_pilot9","3K2755HG5S4STNPX14QX1QXK8ZZFDY","0","Memory","2",,"2","30","1","10794","[""RABIES"",""DOGSLED"",""GOLDEN"",""WEAPON"",""UNHAPPY"",""SMOKER"",""MAILMAN"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","1","1","2018-05-25 16:16:41","17267"
"A3IOZ6QOSLDUM7","cs_wg_v7_pilot9","3VNL7UK1XFKZACLUNUQC6UF6BMVFTR","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","22597","WEAPON",,"180","1","1","2018-05-25 16:18:05","17268"
"A2T2HFUJP04DWD","cs_wg_v7_pilot9","3Z3ZLGNNSIVR2KD9MVVF0GFMOPOQ3C","0","Memory","2",,"2","30","1","32784","[""UNHAPPY"",""LIPSTICK"",""STEREOTYPE"",""GOLDEN"",""DOGSLED"",""SMOKER"",""RABIES"",""WEAPON"",""MAILMAN"",""FILMMAKER"",""POPCORN"",""""]",,"180","1","0","2018-05-25 16:18:59","17269"
"A3IOZ6QOSLDUM7","cs_wg_v7_pilot9","3VNL7UK1XFKZACLUNUQC6UF6BMVFTR","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","12347","GOLDEN",,"20","1","1","2018-05-25 16:19:03","17270"
"A2KROBPV0YPE4A","cs_wg_v7_pilot9","3RANCT1ZVFIOX8O3IXUQS0ANF15BUP","0","Memory","2",,"2","30","1","17254","[""golden"",""lipstick"",""mailman"",""dogsled"",""popcorn"",""rabies"",""inferno"",""unhappy"",""weapon"",""filmaker"",""stereotype"",""smoker""]",,"180","0","1","2018-05-25 16:19:39","17271"
"A28LPPFS7FW2SD","cs_wg_v7_pilot9","3AUQQEL7U5UNQ0ATP77645GN24EV09","0","Memory","2",,"2","20","0","22262","[""golden "",""popcorn"",""rabies"",""dogsled"",""I can't remember"",""I can't remember"",""'I can't remember"",""'I can't remember"",""'I can't remember"",""'I can't remember"",""'I can't remember"",""'I can't remember""]",,"180","0","0","2018-05-25 16:20:01","17272"
"A1JGA15NKUP0BB
","cs_wg_v7_pilot9","3LPW2N6LKT3M8S7UHN3DPEAV55GU54","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","18808","unhappy",,"180","0","1","2018-05-25 16:20:02","17273"
"A18WCPDCDP4IAS","cs_wg_v7_pilot9","37C0GNLMHF4WAUWM0BNT7KK7F146DW","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","60622","WEAPON","RABIES","180","1","1","2018-05-25 16:20:09","17274"
"A18WCPDCDP4IAS","cs_wg_v7_pilot9","37C0GNLMHF4WAUWM0BNT7KK7F146DW","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","45583",,"unhappy
inferno","20","1","1","2018-05-25 16:21:38","17275"
"A11WC9ZQ6ZEJ1R","cs_wg_v7_pilot9","323Q6SJS8IH953UZN09NSBCI0S9HFS","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","30104","weapon","Rabies","180","1","0","2018-05-25 16:21:45","17276"
"A3IOZ6QOSLDUM7","cs_wg_v7_pilot9","3VNL7UK1XFKZACLUNUQC6UF6BMVFTR","0","Memory","2",,"2","30","1","18864","[""FILMMAKER"",""UNHAPPY"",""WEAPON"",""DOGSLED"",""INFERNO"",""GOLDEN"",""SMOKER"",""MAILMAN"",""POPCORN"",""LIPSTICK"",""RABIES"",""STEREOTYPE""]",,"180","1","1","2018-05-25 16:22:25","17277"
"A11WC9ZQ6ZEJ1R","cs_wg_v7_pilot9","323Q6SJS8IH953UZN09NSBCI0S9HFS","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","17834","weapon","weapon
filmmaker
","20","1","0","2018-05-25 16:22:43","17278"
"AA0L04OMSAXH5","cs_wg_v7_pilot9","3NKQQ8O39Y6HC5MNWTLWNQYNIMEUDC","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","32813","Weapon",,"180","1","0","2018-05-25 16:22:44","17279"
"AA0L04OMSAXH5","cs_wg_v7_pilot9","3NKQQ8O39Y6HC5MNWTLWNQYNIMEUDC","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","32679","ster",,"20","1","0","2018-05-25 16:24:06","17280"
"A18WCPDCDP4IAS","cs_wg_v7_pilot9","37C0GNLMHF4WAUWM0BNT7KK7F146DW","0","Memory","2",,"2","30","1","35698","[""inferno"",""unhappy"",""weapon"",""golden"",""smoker"",""rabies"",""mailman"",""popcorn"",""dogsled"",""filmmaker"",""lipstick"",""I can't remember""]",,"180","1","1","2018-05-25 16:25:17","17281"
"A11WC9ZQ6ZEJ1R","cs_wg_v7_pilot9","323Q6SJS8IH953UZN09NSBCI0S9HFS","0","Memory","2",,"2","30","1","17778","[""filmmaker"",""weapon"",""lipstick"",""mailman"",""golden"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember""]",,"180","1","0","2018-05-25 16:26:04","17282"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","10","0","30020","RABIES",,"180","1","1","2018-05-25 16:26:14","17283"
"AA0L04OMSAXH5","cs_wg_v7_pilot9","3NKQQ8O39Y6HC5MNWTLWNQYNIMEUDC","0","Memory","2",,"2","30","1","40644","[""dogsled"",""sereotype"",""weapon"",""golden"",""mailman"",""filmmaker"",""lipstick"",""rabies"",""popcorn"",""smoker"",""inferno"",""unhappy""]",,"180","1","0","2018-05-25 16:27:50","17284"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","20","0","78426","LIPSTICK",,"20","1","1","2018-05-25 16:28:08","17285"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","64706","POPCORN
","LIPSTICK","180","0","1","2018-05-25 16:30:38","17286"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","0","Memory","2",,"2","30","1","15969","[""LIPSTICK"",""WEAPON"",""FILMMAKER"",""POPCORN"",""I DON'T REMEMBER"",""I DON'T REMEMBER"",""I DON'T REMEMBER"",""I DON'T REMEMBER"",""I DON'T REMEMBER"",""I DON'T REMEMBER"",""I DON'T REMEMBER"",""I DON'T REMEMBER""]",,"180","1","1","2018-05-25 16:31:28","17287"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","20690","rabies",,"20","0","1","2018-05-25 16:31:49","17288"
"A33DSCVAUOWIQY","cs_wg_v7_pilot9","33JKGHPFYCV7L98RCL8DSLTNJ4DNMV","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","25476","POPCORN",,"180","0","0","2018-05-25 16:34:17","17289"
"A271V19C06841K","cs_wg_v7_pilot9","3L0KT67Y8EH4V3PA3KDALAQ0FDZSY2","0","Memory","2",,"2","30","1","16204","[""Popcorn"",""Mailman"",""filmmaker"",""rabies"",""sterotype"",""golden"",""unhappy"",""lipstick"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","0","1","2018-05-25 16:35:08","17290"
"A33DSCVAUOWIQY","cs_wg_v7_pilot9","33JKGHPFYCV7L98RCL8DSLTNJ4DNMV","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","14698","WEAPON",,"20","0","0","2018-05-25 16:35:15","17291"
"AOCRGFJ7XSJUM","cs_wg_v7_pilot9","3HL8HNGX452GQXCGPOLVFUEUHEKF9H","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","27725","WEAPON",,"180","1","1","2018-05-25 16:35:25","17292"
"AOCRGFJ7XSJUM","cs_wg_v7_pilot9","3HL8HNGX452GQXCGPOLVFUEUHEKF9H","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","4947","rabies",,"20","1","1","2018-05-25 16:36:08","17293"
"A36MOV8E6SYHCR","cs_wg_v7_pilot9","3LQ8PUHQFLTTFUWPO8F8V8PAGKRIHA","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","27576","Rabies","Rabies weapon lipstick smoker stereotype dogsled filmmaker golden mailman unhappy inferno popconr","180","1","1","2018-05-25 16:38:23","17294"
"AOCRGFJ7XSJUM","cs_wg_v7_pilot9","3HL8HNGX452GQXCGPOLVFUEUHEKF9H","0","Memory","2",,"2","30","1","29725","[""rabies"",""mailman"",""weapon"",""standard"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember"",""I can't remember""]",,"180","1","1","2018-05-25 16:39:41","17295"
"A36MOV8E6SYHCR","cs_wg_v7_pilot9","3LQ8PUHQFLTTFUWPO8F8V8PAGKRIHA","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","105417","ste","Stererotype","20","1","1","2018-05-25 16:40:53","17296"
